100 2806
1 64 24
4 47 20
23 64 12
49 82 23
9 82 14
47 91 9
16 28 3
15 21 1
24 35 7
60 77 14
59 78 1
50 62 15
51 72 26
60 92 16
6 56 7
8 72 20
63 76 29
42 48 5
38 39 19
79 91 17
8 62 3
56 71 16
9 80 15
24 81 8
6 33 21
40 55 6
61 66 2
11 96 6
5 92 5
54 96 6
63 77 3
10 89 11
16 78 14
21 97 26
75 91 14
36 72 23
66 95 3
11 45 23
3 44 3
2 57 21
36 50 5
26 52 17
85 88 26
57 68 26
59 95 5
45 57 9
43 47 8
40 86 24
3 34 24
31 88 23
49 65 15
6 23 27
60 85 28
23 79 10
16 99 19
14 23 29
31 47 27
27 34 7
31 55 8
45 58 10
41 52 27
44 45 15
55 57 22
38 93 22
7 53 5
77 91 1
16 54 18
16 19 22
5 39 6
57 66 13
53 81 12
9 27 17
69 70 11
19 32 3
35 64 28
22 34 7
9 65 7
47 73 18
6 57 29
9 35 21
8 76 18
25 43 22
31 60 3
58 85 4
28 49 3
18 63 14
4 89 5
32 59 23
9 91 28
36 41 20
73 89 24
37 68 24
13 100 18
9 100 25
62 85 17
2 97 27
24 69 24
45 73 15
38 48 22
10 97 24
42 78 24
6 21 16
32 42 20
23 56 28
13 24 2
82 95 5
6 49 5
9 55 23
45 55 6
24 68 15
15 79 3
18 30 10
43 97 17
70 75 29
69 83 5
4 22 14
80 95 14
5 20 30
37 96 13
33 62 28
15 93 10
15 71 5
57 65 6
20 52 25
64 66 24
41 80 13
9 16 2
1 69 17
86 91 3
92 99 6
8 28 25
3 42 5
60 89 6
23 72 24
23 26 5
19 26 2
20 64 16
3 50 20
10 84 18
43 60 12
40 43 24
6 89 27
1 53 17
7 93 15
81 84 21
47 68 6
18 29 8
69 81 24
25 59 24
18 51 16
81 97 30
64 74 30
30 87 1
25 97 9
59 99 18
26 64 18
53 95 3
32 84 2
2 54 24
65 79 3
42 46 14
34 63 20
56 91 3
57 82 27
30 74 2
61 74 11
34 73 24
48 49 22
24 58 20
45 81 1
67 77 2
16 53 29
12 84 12
47 59 17
25 78 18
8 89 24
20 53 26
62 84 29
74 94 19
2 67 8
39 46 27
15 98 12
83 94 22
56 100 18
12 80 16
59 100 5
41 100 22
41 91 21
19 48 28
70 87 17
18 23 29
31 78 26
18 68 8
40 58 16
11 64 11
65 71 7
54 58 30
14 26 2
40 81 5
68 75 1
21 87 27
18 27 12
63 71 30
27 83 4
49 60 10
54 57 30
45 100 13
10 33 11
42 100 28
36 89 27
16 33 11
79 98 27
14 15 14
56 94 5
54 99 15
29 40 29
66 67 19
28 62 15
19 76 13
76 85 2
19 100 28
33 54 8
40 66 22
25 61 3
34 71 3
71 78 14
64 94 8
9 44 12
12 98 30
33 68 18
33 40 26
12 85 25
16 20 5
35 72 27
13 31 28
52 90 8
29 65 15
23 45 7
31 80 25
19 89 14
36 80 13
93 99 15
4 48 6
21 39 5
5 75 15
34 87 5
74 99 21
11 63 26
51 56 17
47 98 27
21 93 14
19 61 13
20 29 2
63 81 3
42 73 21
51 81 3
45 89 29
11 62 1
51 84 6
9 79 13
51 73 18
51 93 30
36 83 13
34 98 20
2 44 20
5 43 17
61 63 13
14 35 23
3 63 14
19 77 8
22 85 30
71 74 18
21 81 3
8 92 18
32 79 28
59 89 20
34 96 17
47 62 29
41 47 17
87 88 6
26 93 22
46 79 27
47 74 28
9 73 15
32 73 26
85 86 17
25 65 26
51 65 27
9 95 15
69 95 6
67 99 24
12 20 18
54 83 15
34 57 22
34 60 29
14 52 8
10 80 20
18 53 25
12 86 3
53 75 26
18 57 29
72 94 12
34 84 1
24 32 26
22 41 8
31 62 6
51 68 7
61 100 29
40 73 25
61 62 1
27 77 11
11 24 24
13 90 8
46 52 9
20 32 27
24 95 28
21 88 30
70 73 16
53 64 3
16 88 3
4 55 2
22 24 19
6 26 12
66 99 6
69 72 9
5 90 12
3 41 13
39 94 16
12 77 23
4 8 23
41 72 25
15 17 20
26 51 30
59 80 21
34 56 25
82 90 30
37 78 7
23 65 3
58 70 30
27 84 26
18 91 16
62 92 16
82 94 19
19 30 27
52 93 19
6 24 28
36 53 1
68 96 28
39 77 2
56 78 6
25 76 24
14 29 7
1 2 7
24 88 30
71 94 14
2 79 28
2 34 28
62 80 12
43 72 19
21 91 14
80 88 16
48 67 16
44 64 6
3 83 14
3 87 10
40 62 29
40 89 15
82 98 30
61 72 16
78 83 26
15 61 30
81 88 9
46 63 29
26 92 2
35 51 5
40 70 28
43 94 10
37 45 21
62 75 8
30 55 8
7 16 29
62 99 29
45 50 28
86 98 21
26 73 25
50 95 11
30 90 24
15 48 29
12 65 14
52 84 30
29 88 22
9 46 21
22 36 28
79 93 28
84 93 30
62 77 2
27 100 5
7 74 23
75 97 4
58 71 12
16 49 22
24 54 26
9 61 24
6 62 30
34 58 25
12 13 28
38 77 17
32 50 17
34 52 16
1 36 2
14 81 12
42 83 7
14 16 30
17 87 19
70 76 1
36 98 18
17 86 10
66 92 5
9 94 5
80 98 22
87 95 1
46 56 5
16 47 5
96 99 20
74 92 28
28 44 13
1 74 3
15 28 8
22 94 21
48 53 18
49 77 16
60 80 10
28 96 4
12 29 6
22 71 9
41 68 10
47 84 3
34 95 23
37 85 4
11 61 11
77 82 1
29 85 20
27 51 3
55 92 6
47 51 29
8 10 28
12 54 29
62 70 4
42 75 1
33 93 3
21 28 10
47 57 19
57 71 27
25 48 30
13 99 26
15 59 15
24 84 22
14 89 5
17 35 24
48 74 2
67 90 20
37 67 5
19 73 6
29 82 19
67 91 18
49 69 30
60 69 18
42 71 15
91 95 28
68 71 21
9 10 26
40 97 4
28 41 15
42 64 25
8 50 29
